Subject,Group,Condition,Electrode,MNA
942,CI,Related,Fz,-15.608
959,CI,Related,Fz,-8.93
925,CI,Related,Fz,-12.589
956,CI,Related,Fz,-7.367
955,CI,Related,Fz,-2.817
904,CI,Related,Fz,-19.845
911,CI,Related,Fz,-16.237
919,CI,Related,Fz,-14.003
954,CI,Related,Fz,-39.436
945,CI,Related,Fz,-8.855
961,CI,Related,Fz,-3.653
903,CI,Related,Fz,-20.117
921,CI,Related,Fz,-37.67
936,CI,Related,Fz,2.601
901,CI,Related,Fz,-28.02
923,CI,Related,Fz,-8.112
924,CI,Related,Fz,-7.386
934,CI,Related,Fz,-6.924
951,CI,Related,Fz,-20.021
913,CI,Related,Fz,-14.822
910,CI,Related,Fz,-24.732
941,CI,Related,Fz,-21.496
947,CI,Related,Fz,-6.167
935,CI,Related,Fz,-13.322
937,CI,Related,Fz,-14.514
857,HG,Related,Fz,-13.346
847,HG,Related,Fz,-3.141
858,HG,Related,Fz,-6.38
859,HG,Related,Fz,-7.24
841,HG,Related,Fz,-18.552
836,HG,Related,Fz,-16.369
846,HG,Related,Fz,-19.996
N4C01,HG,Related,Fz,-4.009
842,HG,Related,Fz,-15.067
848,HG,Related,Fz,-13.678
818,HG,Related,Fz,-40.828
N4C10,HG,Related,Fz,-6.016
N4C13,HG,Related,Fz,-28.008
809,HG,Related,Fz,-18.308
N4C09,HG,Related,Fz,-14.525
850,HG,Related,Fz,-15.108
801,HG,Related,Fz,-13.305
803,HG,Related,Fz,-11.741
942,CI,Unrelated,Fz,-19.676
959,CI,Unrelated,Fz,-15.051
925,CI,Unrelated,Fz,-15.04
956,CI,Unrelated,Fz,-20.795
955,CI,Unrelated,Fz,-2.808
904,CI,Unrelated,Fz,-20.64
911,CI,Unrelated,Fz,-17.359
919,CI,Unrelated,Fz,-15.457
954,CI,Unrelated,Fz,-56.069
945,CI,Unrelated,Fz,-16.922
961,CI,Unrelated,Fz,-19.604
903,CI,Unrelated,Fz,-24.758
921,CI,Unrelated,Fz,-33.187
936,CI,Unrelated,Fz,-6.697
901,CI,Unrelated,Fz,-3.359
923,CI,Unrelated,Fz,-22.51
924,CI,Unrelated,Fz,-18.952
934,CI,Unrelated,Fz,-14.017
951,CI,Unrelated,Fz,-19.705
913,CI,Unrelated,Fz,-15.578
910,CI,Unrelated,Fz,-35.342
941,CI,Unrelated,Fz,-19.012
947,CI,Unrelated,Fz,-19.223
935,CI,Unrelated,Fz,-16.625
937,CI,Unrelated,Fz,-27.731
857,HG,Unrelated,Fz,-8.053
847,HG,Unrelated,Fz,-2.966
858,HG,Unrelated,Fz,-18.587
859,HG,Unrelated,Fz,-7.7
841,HG,Unrelated,Fz,-28.017
836,HG,Unrelated,Fz,-8.181
846,HG,Unrelated,Fz,-27.161
N4C01,HG,Unrelated,Fz,-17.461
842,HG,Unrelated,Fz,-18.281
848,HG,Unrelated,Fz,-15.101
818,HG,Unrelated,Fz,-46.298
N4C10,HG,Unrelated,Fz,-9.489
N4C13,HG,Unrelated,Fz,-25.547
809,HG,Unrelated,Fz,-13.547
N4C09,HG,Unrelated,Fz,-11.51
850,HG,Unrelated,Fz,-22.286
801,HG,Unrelated,Fz,-24.316
803,HG,Unrelated,Fz,-15.158